combo,service,fault_type,run_id,case_id,simple_data_exists,inject_time_exists,n_rows,n_cols,n_metric_cols,columns_hash,time_dtype,time_min,time_max,time_span_sec,sampling_interval_mode_sec,sampling_interval_min_sec,sampling_interval_max_sec,n_non_uniform_gaps,n_missing_cells,cols_with_missing,n_duplicate_rows,n_duplicate_timestamps,n_constant_cols,n_near_constant_cols,constant_col_names,inject_time,inject_time_in_range,inject_time_frac,n_rows_pre_fault,n_rows_post_fault
cartservice_cpu,cartservice,cpu,1,cartservice_cpu/1,True,True,721,58,57,1116ad8399301dd3397328e0dbc79c1a615392927c1a0e20a7093a1bb4929212,int64,1692568979,1692569699,720,1.0,1.0,1.0,0,0,0,0,0,2,8,"frontend-external_error,frontend_error",1692569339,True,0.5,360,361
cartservice_cpu,cartservice,cpu,2,cartservice_cpu/2,True,True,721,58,57,1116ad8399301dd3397328e0dbc79c1a615392927c1a0e20a7093a1bb4929212,int64,1692550481,1692551201,720,1.0,1.0,1.0,0,0,0,0,0,0,7,,1692550841,True,0.5,360,361
cartservice_cpu,cartservice,cpu,3,cartservice_cpu/3,True,True,721,58,57,1116ad8399301dd3397328e0dbc79c1a615392927c1a0e20a7093a1bb4929212,int64,1692569747,1692570467,720,1.0,1.0,1.0,0,0,0,0,0,2,7,"frontend-external_error,frontend_error",1692570107,True,0.5,360,361
cartservice_cpu,cartservice,cpu,4,cartservice_cpu/4,True,True,721,58,57,1116ad8399301dd3397328e0dbc79c1a615392927c1a0e20a7093a1bb4929212,int64,1692570514,1692571234,720,1.0,1.0,1.0,0,0,0,0,0,1,7,frontend_error,1692570874,True,0.5,360,361
cartservice_cpu,cartservice,cpu,5,cartservice_cpu/5,True,True,721,58,57,1116ad8399301dd3397328e0dbc79c1a615392927c1a0e20a7093a1bb4929212,int64,1692571282,1692572002,720,1.0,1.0,1.0,0,0,0,0,0,1,9,frontend_error,1692571642,True,0.5,360,361
cartservice_delay,cartservice,delay,1,cartservice_delay/1,True,True,721,59,58,002d8bbd70a7bcb0d5e90846b374acb9b00ed582dd552eeb1de86d7fe64fbb42,int64,1692627752,1692628472,720,1.0,1.0,1.0,0,0,0,0,0,2,6,"adservice_error,emailservice_mem",1692628112,True,0.5,360,361
cartservice_delay,cartservice,delay,2,cartservice_delay/2,True,True,721,59,58,002d8bbd70a7bcb0d5e90846b374acb9b00ed582dd552eeb1de86d7fe64fbb42,int64,1692628521,1692629241,720,1.0,1.0,1.0,0,0,0,0,0,3,6,"adservice_error,frontend-external_error,frontend_error",1692628881,True,0.5,360,361
cartservice_delay,cartservice,delay,3,cartservice_delay/3,True,True,721,59,58,002d8bbd70a7bcb0d5e90846b374acb9b00ed582dd552eeb1de86d7fe64fbb42,int64,1692607988,1692608708,720,1.0,1.0,1.0,0,0,0,0,0,3,5,"adservice_error,emailservice_mem,frontend_error",1692608348,True,0.5,360,361
cartservice_delay,cartservice,delay,4,cartservice_delay/4,True,True,721,59,58,002d8bbd70a7bcb0d5e90846b374acb9b00ed582dd552eeb1de86d7fe64fbb42,int64,1692621344,1692622064,720,1.0,1.0,1.0,0,0,0,0,0,2,8,"adservice_error,frontend-external_error",1692621704,True,0.5,360,361
cartservice_delay,cartservice,delay,5,cartservice_delay/5,True,True,721,59,58,002d8bbd70a7bcb0d5e90846b374acb9b00ed582dd552eeb1de86d7fe64fbb42,int64,1692629287,1692630007,720,1.0,1.0,1.0,0,0,0,0,0,3,7,"adservice_error,emailservice_mem,frontend_error",1692629647,True,0.5,360,361
