column,is_metadata,n_cases_present,n_cases_total,present_in_all,services_present,fault_types_present,missing_from_cases
adservice_error,False,61,100,False,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem","cartservice_cpu/1,cartservice_cpu/2,cartservice_cpu/3,cartservice_cpu/4,cartservice_cpu/5,cartservice_loss/1,checkoutservice_cpu/1,checkoutservice_cpu/2,checkoutservice_cpu/3,checkoutservice_cpu/4,checkoutservice_cpu/5,currencyservice_cpu/1,currencyservice_cpu/2,currencyservice_cpu/3,currencyservice_cpu/4,currencyservice_cpu/5,currencyservice_delay/1,currencyservice_delay/2,currencyservice_delay/5,currencyservice_loss/1,paymentservice_cpu/1,paymentservice_cpu/2,paymentservice_cpu/3,paymentservice_cpu/4,paymentservice_cpu/5,paymentservice_delay/1,paymentservice_delay/2,paymentservice_delay/3,paymentservice_delay/4,paymentservice_loss/1,paymentservice_loss/2,paymentservice_loss/3,paymentservice_loss/5,productcatalogservice_cpu/1,productcatalogservice_cpu/2,productcatalogservice_cpu/3,productcatalogservice_cpu/5,productcatalogservice_delay/1,productcatalogservice_delay/4"
cartservice_error,False,7,100,False,"cartservice,currencyservice,paymentservice","cpu,loss","cartservice_cpu/1,cartservice_cpu/2,cartservice_cpu/3,cartservice_cpu/4,cartservice_cpu/5,cartservice_delay/1,cartservice_delay/2,cartservice_delay/3,cartservice_delay/4,cartservice_delay/5,cartservice_loss/2,cartservice_loss/3,cartservice_loss/4,cartservice_loss/5,cartservice_mem/1,cartservice_mem/2,cartservice_mem/3,cartservice_mem/4,cartservice_mem/5,checkoutservice_cpu/1,checkoutservice_cpu/2,checkoutservice_cpu/3,checkoutservice_cpu/4,checkoutservice_cpu/5,checkoutservice_delay/1,checkoutservice_delay/2,checkoutservice_delay/3,checkoutservice_delay/4,checkoutservice_delay/5,checkoutservice_loss/1,checkoutservice_loss/2,checkoutservice_loss/3,checkoutservice_loss/4,checkoutservice_loss/5,checkoutservice_mem/1,checkoutservice_mem/2,checkoutservice_mem/3,checkoutservice_mem/4,checkoutservice_mem/5,currencyservice_cpu/1,currencyservice_cpu/3,currencyservice_cpu/4,currencyservice_cpu/5,currencyservice_delay/1,currencyservice_delay/2,currencyservice_delay/3,currencyservice_delay/4,currencyservice_delay/5,currencyservice_loss/2,currencyservice_loss/3,currencyservice_loss/4,currencyservice_loss/5,currencyservice_mem/1,currencyservice_mem/2,currencyservice_mem/3,currencyservice_mem/4,currencyservice_mem/5,paymentservice_cpu/1,paymentservice_cpu/2,paymentservice_cpu/3,paymentservice_cpu/4,paymentservice_cpu/5,paymentservice_delay/1,paymentservice_delay/2,paymentservice_delay/3,paymentservice_delay/4,paymentservice_delay/5,paymentservice_loss/4,paymentservice_mem/1,paymentservice_mem/2,paymentservice_mem/3,paymentservice_mem/4,paymentservice_mem/5,productcatalogservice_cpu/1,productcatalogservice_cpu/2,productcatalogservice_cpu/3,productcatalogservice_cpu/4,productcatalogservice_cpu/5,productcatalogservice_delay/1,productcatalogservice_delay/2,productcatalogservice_delay/3,productcatalogservice_delay/4,productcatalogservice_delay/5,productcatalogservice_loss/1,productcatalogservice_loss/2,productcatalogservice_loss/3,productcatalogservice_loss/4,productcatalogservice_loss/5,productcatalogservice_mem/1,productcatalogservice_mem/2,productcatalogservice_mem/3,productcatalogservice_mem/4,productcatalogservice_mem/5"
checkoutservice_error,False,6,100,False,"cartservice,currencyservice,paymentservice",loss,"cartservice_cpu/1,cartservice_cpu/2,cartservice_cpu/3,cartservice_cpu/4,cartservice_cpu/5,cartservice_delay/1,cartservice_delay/2,cartservice_delay/3,cartservice_delay/4,cartservice_delay/5,cartservice_loss/2,cartservice_loss/3,cartservice_loss/4,cartservice_loss/5,cartservice_mem/1,cartservice_mem/2,cartservice_mem/3,cartservice_mem/4,cartservice_mem/5,checkoutservice_cpu/1,checkoutservice_cpu/2,checkoutservice_cpu/3,checkoutservice_cpu/4,checkoutservice_cpu/5,checkoutservice_delay/1,checkoutservice_delay/2,checkoutservice_delay/3,checkoutservice_delay/4,checkoutservice_delay/5,checkoutservice_loss/1,checkoutservice_loss/2,checkoutservice_loss/3,checkoutservice_loss/4,checkoutservice_loss/5,checkoutservice_mem/1,checkoutservice_mem/2,checkoutservice_mem/3,checkoutservice_mem/4,checkoutservice_mem/5,currencyservice_cpu/1,currencyservice_cpu/2,currencyservice_cpu/3,currencyservice_cpu/4,currencyservice_cpu/5,currencyservice_delay/1,currencyservice_delay/2,currencyservice_delay/3,currencyservice_delay/4,currencyservice_delay/5,currencyservice_loss/2,currencyservice_loss/3,currencyservice_loss/4,currencyservice_loss/5,currencyservice_mem/1,currencyservice_mem/2,currencyservice_mem/3,currencyservice_mem/4,currencyservice_mem/5,paymentservice_cpu/1,paymentservice_cpu/2,paymentservice_cpu/3,paymentservice_cpu/4,paymentservice_cpu/5,paymentservice_delay/1,paymentservice_delay/2,paymentservice_delay/3,paymentservice_delay/4,paymentservice_delay/5,paymentservice_loss/4,paymentservice_mem/1,paymentservice_mem/2,paymentservice_mem/3,paymentservice_mem/4,paymentservice_mem/5,productcatalogservice_cpu/1,productcatalogservice_cpu/2,productcatalogservice_cpu/3,productcatalogservice_cpu/4,productcatalogservice_cpu/5,productcatalogservice_delay/1,productcatalogservice_delay/2,productcatalogservice_delay/3,productcatalogservice_delay/4,productcatalogservice_delay/5,productcatalogservice_loss/1,productcatalogservice_loss/2,productcatalogservice_loss/3,productcatalogservice_loss/4,productcatalogservice_loss/5,productcatalogservice_mem/1,productcatalogservice_mem/2,productcatalogservice_mem/3,productcatalogservice_mem/4,productcatalogservice_mem/5"
frontend-external_error,False,93,100,False,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem","checkoutservice_mem/2,checkoutservice_mem/3,currencyservice_cpu/1,currencyservice_mem/1,currencyservice_mem/3,currencyservice_mem/4,productcatalogservice_delay/4"
frontend_error,False,92,100,False,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem","checkoutservice_delay/1,checkoutservice_delay/2,checkoutservice_delay/3,checkoutservice_mem/2,checkoutservice_mem/3,currencyservice_mem/1,currencyservice_mem/3,currencyservice_mem/4"
istio-init_mem,False,2,100,False,"checkoutservice,currencyservice","cpu,mem","cartservice_cpu/1,cartservice_cpu/2,cartservice_cpu/3,cartservice_cpu/4,cartservice_cpu/5,cartservice_delay/1,cartservice_delay/2,cartservice_delay/3,cartservice_delay/4,cartservice_delay/5,cartservice_loss/1,cartservice_loss/2,cartservice_loss/3,cartservice_loss/4,cartservice_loss/5,cartservice_mem/1,cartservice_mem/2,cartservice_mem/3,cartservice_mem/4,cartservice_mem/5,checkoutservice_cpu/1,checkoutservice_cpu/2,checkoutservice_cpu/3,checkoutservice_cpu/4,checkoutservice_cpu/5,checkoutservice_delay/1,checkoutservice_delay/2,checkoutservice_delay/3,checkoutservice_delay/4,checkoutservice_delay/5,checkoutservice_loss/1,checkoutservice_loss/2,checkoutservice_loss/3,checkoutservice_loss/4,checkoutservice_loss/5,checkoutservice_mem/1,checkoutservice_mem/3,checkoutservice_mem/4,checkoutservice_mem/5,currencyservice_cpu/1,currencyservice_cpu/3,currencyservice_cpu/4,currencyservice_cpu/5,currencyservice_delay/1,currencyservice_delay/2,currencyservice_delay/3,currencyservice_delay/4,currencyservice_delay/5,currencyservice_loss/1,currencyservice_loss/2,currencyservice_loss/3,currencyservice_loss/4,currencyservice_loss/5,currencyservice_mem/1,currencyservice_mem/2,currencyservice_mem/3,currencyservice_mem/4,currencyservice_mem/5,paymentservice_cpu/1,paymentservice_cpu/2,paymentservice_cpu/3,paymentservice_cpu/4,paymentservice_cpu/5,paymentservice_delay/1,paymentservice_delay/2,paymentservice_delay/3,paymentservice_delay/4,paymentservice_delay/5,paymentservice_loss/1,paymentservice_loss/2,paymentservice_loss/3,paymentservice_loss/4,paymentservice_loss/5,paymentservice_mem/1,paymentservice_mem/2,paymentservice_mem/3,paymentservice_mem/4,paymentservice_mem/5,productcatalogservice_cpu/1,productcatalogservice_cpu/2,productcatalogservice_cpu/3,productcatalogservice_cpu/4,productcatalogservice_cpu/5,productcatalogservice_delay/1,productcatalogservice_delay/2,productcatalogservice_delay/3,productcatalogservice_delay/4,productcatalogservice_delay/5,productcatalogservice_loss/1,productcatalogservice_loss/2,productcatalogservice_loss/3,productcatalogservice_loss/4,productcatalogservice_loss/5,productcatalogservice_mem/1,productcatalogservice_mem/2,productcatalogservice_mem/3,productcatalogservice_mem/4,productcatalogservice_mem/5"
productcatalogservice_error,False,21,100,False,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","loss,mem","cartservice_cpu/1,cartservice_cpu/2,cartservice_cpu/3,cartservice_cpu/4,cartservice_cpu/5,cartservice_delay/1,cartservice_delay/2,cartservice_delay/3,cartservice_delay/4,cartservice_delay/5,cartservice_loss/1,cartservice_mem/1,cartservice_mem/2,cartservice_mem/3,cartservice_mem/4,cartservice_mem/5,checkoutservice_cpu/1,checkoutservice_cpu/2,checkoutservice_cpu/3,checkoutservice_cpu/4,checkoutservice_cpu/5,checkoutservice_delay/1,checkoutservice_delay/2,checkoutservice_delay/3,checkoutservice_delay/4,checkoutservice_delay/5,checkoutservice_mem/1,checkoutservice_mem/2,checkoutservice_mem/3,currencyservice_cpu/1,currencyservice_cpu/2,currencyservice_cpu/3,currencyservice_cpu/4,currencyservice_cpu/5,currencyservice_delay/1,currencyservice_delay/2,currencyservice_delay/3,currencyservice_delay/4,currencyservice_delay/5,currencyservice_loss/1,currencyservice_mem/1,currencyservice_mem/2,currencyservice_mem/3,currencyservice_mem/4,currencyservice_mem/5,paymentservice_cpu/1,paymentservice_cpu/2,paymentservice_cpu/3,paymentservice_cpu/4,paymentservice_cpu/5,paymentservice_delay/1,paymentservice_delay/2,paymentservice_delay/3,paymentservice_delay/4,paymentservice_delay/5,paymentservice_loss/1,paymentservice_loss/2,paymentservice_loss/3,paymentservice_loss/5,paymentservice_mem/1,paymentservice_mem/2,paymentservice_mem/3,paymentservice_mem/4,paymentservice_mem/5,productcatalogservice_cpu/1,productcatalogservice_cpu/2,productcatalogservice_cpu/3,productcatalogservice_cpu/4,productcatalogservice_cpu/5,productcatalogservice_delay/1,productcatalogservice_delay/2,productcatalogservice_delay/3,productcatalogservice_delay/4,productcatalogservice_delay/5,productcatalogservice_mem/1,productcatalogservice_mem/2,productcatalogservice_mem/3,productcatalogservice_mem/4,productcatalogservice_mem/5"
adservice_cpu,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
adservice_latency-50,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
adservice_latency-90,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
