column,n_cases_present,global_min,global_max,mean_of_means,mean_of_stds
adservice_cpu,100,0.4056401625000028,7.364292130518237,1.0534991148664283,0.159833684412597
adservice_error,61,0.0,164.0,0.15832684059489255,0.9932558999522774
adservice_latency-50,100,0.0003049980322707,0.0035174825174825,0.001015000065173377,0.0002845087059611477
adservice_latency-90,100,0.0027945945945945,0.0239007901953561,0.004241609488408241,0.0003788758954955071
adservice_mem,100,85909504.0,190562304.0,94063042.84404992,1417581.1580390825
adservice_workload,100,0.0,404.0,56.296279778086,23.6567513505464
cartservice_cpu,100,0.9995500749866532,30.704735599121214,6.1465886186365575,1.9718348605276745
cartservice_error,7,0.0,0.0,0.0,0.0
cartservice_latency-50,100,0.0014584674822923,0.7268518518518516,0.01280782903607451,0.011966578666001428
cartservice_latency-90,100,0.0043281640499839,8.179487033177107,0.06295448458965618,0.08736717220729957
cartservice_mem,100,38617088.0,314572800.0,49407027.41303744,6844367.450894401
cartservice_workload,100,0.0,518.0,94.79699138696259,37.412276753273446
checkoutservice_cpu,100,0.1732784325,30.487829370566576,2.173539913680645,1.4876554487634142
checkoutservice_error,6,0.0,0.0,0.0,0.0
checkoutservice_latency-50,100,0.0186187845303867,3.1089779985907553,0.2766852194118521,0.21693376001137687
checkoutservice_latency-90,100,0.0317391304347826,5.772727272727276,0.8039615302125978,0.593105973718589
checkoutservice_mem,100,9490432.0,134217728.0,14688036.315783637,3182097.997377957
checkoutservice_workload,100,0.0,56.0,3.481915464632455,3.9195266089609366
currencyservice_cpu,100,1.9724586562295856,20.699438647963177,6.933924736155221,1.1547023437231365
currencyservice_latency-50,100,0.0003336835940191,0.1915468256752017,0.005512972852702366,0.005463897823370986
currencyservice_latency-90,100,0.0034280133000831,1.9027093596059108,0.04041634665207728,0.040288946350520015
currencyservice_mem,100,33538048.0,358481920.0,48301311.92898751,7946506.446656447
currencyservice_workload,100,0.0,1332.0,297.9898691678225,104.44705027166455
emailservice_cpu,100,0.2092492859814315,1.7281887761385095,0.6213035625999599,0.04617478622504941
emailservice_latency-50,100,0.0018965378868927,0.0041735537190082,0.002805139032106242,7.600741042387225e-05
emailservice_latency-90,100,0.0043793075773785,0.554539203777132,0.00469184107097206,0.0007036897333595364
emailservice_mem,100,41283584.0,83472384.0,42351041.70785021,523592.917659465
emailservice_workload,100,0.0,56.0,3.4874912066574204,4.007609995135836
frontend-external_error,93,0.0,8.0,0.010439040758802736,0.08892103080104477
frontend-external_workload,100,0.0,218.0,49.258331220527054,19.847179642539988
frontend_cpu,100,1.2152773382076578,17.457100079693006,13.031495495941913,1.5425877944496276
frontend_error,92,0.0,54.0,0.030000603027196527,0.14762253532447023
frontend_latency-50,100,0.0173813186813186,1.5363516192994051,0.36489390055465504,0.11585892077759809
frontend_latency-90,100,0.0351430348258706,7.835692781250503,0.7804642033017742,0.35666820260684057
frontend_mem,100,13361152.0,33255424.0,18160237.95572816,623120.360800289
frontend_workload,100,0.0,230.0,49.28249775312066,19.962552911467718
istio-init_mem,2,7938048.0,15859712.0,15291392.0,844023.4683503582
main_cpu,100,1.035251921990319,9.074222295450973,6.167155185243541,0.4848055196013097
main_mem,100,51769344.0,132489216.0,81929215.82957004,809962.6344396337
paymentservice_cpu,100,0.1269765600000028,20.581886904684374,1.2297310685346836,0.9770487308299453
paymentservice_latency-50,100,0.0011616161616161,1.2608695652173914,0.02166118881890752,0.023150126104563063
paymentservice_latency-90,100,0.0042323232323232,2.252173913043478,0.06203607793333546,0.0614859744294347
paymentservice_mem,100,21188608.0,134217728.0,37767377.57203884,3624362.2576802643
paymentservice_workload,100,0.0,56.0,3.4825001248266294,3.5963471506677167
productcatalogservice_cpu,100,0.6526820467685105,20.92975633729496,7.110995716241355,1.2335064120184212
productcatalogservice_error,21,0.0,0.0,0.0,0.0
productcatalogservice_latency-50,100,0.0002839697224558,0.1753796228263531,0.028170414962211007,0.007834272618735367
productcatalogservice_latency-90,100,0.0016640942119769,0.2356833210874357,0.05190307433293872,0.010792731494719163
productcatalogservice_mem,100,8790016.0,314572800.0,15600012.306463247,7381274.494028279
productcatalogservice_workload,100,0.0,1962.0,507.01116174757277,186.02894232787156
recommendationservice_cpu,100,1.2078642537651452,6.833432416466705,4.487262293297355,0.3684628044469702
recommendationservice_latency-50,100,0.0030308988764044,0.2354962920707359,0.04234094120549366,0.010429747584439174
recommendationservice_latency-90,100,0.004655617977528,1.755081001472754,0.0977760548762297,0.058426279693186166
recommendationservice_mem,100,42409984.0,88244224.0,48086360.60937586,640016.3534960157
recommendationservice_workload,100,0.0,370.0,70.31294592233009,29.62977510775906
redis_cpu,100,0.0862542716575475,0.4694997656230433,0.3256292674710471,0.03539844778037213
redis_mem,100,3006464.0,6176768.0,3113546.960776698,89264.27023813826
shippingservice_cpu,100,0.2443768075,1.112633376983751,0.8252883377751113,0.07238696614787243
shippingservice_latency-50,100,0.0003113445378151,0.0028033980582524,0.000648794447447369,0.0002378934130650743
shippingservice_latency-90,100,0.0029766323024054,0.0073896713615023,0.004037894262479469,0.00017826350934777664
shippingservice_mem,100,8114176.0,17166336.0,8963795.645603329,220997.81209858358
shippingservice_workload,100,0.0,160.0,28.083648918169207,14.810971289903897
