case,service,fault_type,run_id,column,constant_value
cartservice_cpu/1,cartservice,cpu,1,frontend_error,0.0
cartservice_cpu/1,cartservice,cpu,1,frontend-external_error,0.0
cartservice_cpu/3,cartservice,cpu,3,frontend_error,0.0
cartservice_cpu/3,cartservice,cpu,3,frontend-external_error,0.0
cartservice_cpu/4,cartservice,cpu,4,frontend_error,0.0
cartservice_cpu/5,cartservice,cpu,5,frontend_error,0.0
cartservice_delay/1,cartservice,delay,1,emailservice_mem,42098688.0
cartservice_delay/1,cartservice,delay,1,adservice_error,0.0
cartservice_delay/2,cartservice,delay,2,adservice_error,0.0
cartservice_delay/2,cartservice,delay,2,frontend_error,0.0
cartservice_delay/2,cartservice,delay,2,frontend-external_error,0.0
cartservice_delay/3,cartservice,delay,3,emailservice_mem,42086400.0
cartservice_delay/3,cartservice,delay,3,adservice_error,0.0
cartservice_delay/3,cartservice,delay,3,frontend_error,0.0
cartservice_delay/4,cartservice,delay,4,adservice_error,0.0
cartservice_delay/4,cartservice,delay,4,frontend-external_error,0.0
cartservice_delay/5,cartservice,delay,5,emailservice_mem,42098688.0
cartservice_delay/5,cartservice,delay,5,adservice_error,0.0
cartservice_delay/5,cartservice,delay,5,frontend_error,0.0
cartservice_loss/1,cartservice,loss,1,cartservice_error,0.0
cartservice_loss/1,cartservice,loss,1,checkoutservice_error,0.0
cartservice_loss/1,cartservice,loss,1,frontend_error,0.0
cartservice_loss/1,cartservice,loss,1,frontend-external_error,0.0
cartservice_loss/2,cartservice,loss,2,adservice_error,0.0
cartservice_loss/2,cartservice,loss,2,frontend_error,0.0
cartservice_loss/2,cartservice,loss,2,productcatalogservice_error,0.0
cartservice_loss/3,cartservice,loss,3,adservice_error,0.0
cartservice_loss/3,cartservice,loss,3,frontend_error,0.0
cartservice_loss/3,cartservice,loss,3,frontend-external_error,0.0
cartservice_loss/3,cartservice,loss,3,productcatalogservice_error,0.0
cartservice_loss/4,cartservice,loss,4,adservice_error,0.0
cartservice_loss/4,cartservice,loss,4,frontend_error,0.0
cartservice_loss/4,cartservice,loss,4,frontend-external_error,0.0
cartservice_loss/4,cartservice,loss,4,productcatalogservice_error,0.0
cartservice_loss/5,cartservice,loss,5,adservice_error,0.0
cartservice_loss/5,cartservice,loss,5,frontend_error,0.0
cartservice_loss/5,cartservice,loss,5,productcatalogservice_error,0.0
cartservice_mem/1,cartservice,mem,1,frontend_error,0.0
cartservice_mem/2,cartservice,mem,2,frontend_error,0.0
cartservice_mem/3,cartservice,mem,3,frontend_error,0.0
cartservice_mem/3,cartservice,mem,3,frontend-external_error,0.0
cartservice_mem/4,cartservice,mem,4,frontend_error,0.0
cartservice_mem/5,cartservice,mem,5,frontend_error,0.0
cartservice_mem/5,cartservice,mem,5,frontend-external_error,0.0
checkoutservice_cpu/2,checkoutservice,cpu,2,frontend_error,0.0
checkoutservice_cpu/3,checkoutservice,cpu,3,frontend_error,0.0
checkoutservice_cpu/5,checkoutservice,cpu,5,frontend_error,0.0
checkoutservice_cpu/5,checkoutservice,cpu,5,frontend-external_error,0.0
checkoutservice_delay/1,checkoutservice,delay,1,adservice_error,0.0
checkoutservice_delay/1,checkoutservice,delay,1,frontend-external_error,0.0
checkoutservice_delay/2,checkoutservice,delay,2,adservice_error,0.0
checkoutservice_delay/3,checkoutservice,delay,3,adservice_error,0.0
checkoutservice_delay/4,checkoutservice,delay,4,adservice_error,0.0
checkoutservice_delay/4,checkoutservice,delay,4,frontend_error,0.0
checkoutservice_delay/5,checkoutservice,delay,5,adservice_error,0.0
checkoutservice_delay/5,checkoutservice,delay,5,frontend_error,0.0
checkoutservice_loss/1,checkoutservice,loss,1,adservice_error,0.0
checkoutservice_loss/1,checkoutservice,loss,1,frontend_error,0.0
checkoutservice_loss/1,checkoutservice,loss,1,productcatalogservice_error,0.0
checkoutservice_loss/2,checkoutservice,loss,2,adservice_error,0.0
checkoutservice_loss/2,checkoutservice,loss,2,frontend_error,0.0
checkoutservice_loss/2,checkoutservice,loss,2,productcatalogservice_error,0.0
