case,service,fault_type,column,n_missing,n_missing_pre_fault,n_missing_post_fault,first_missing_row_idx,last_missing_row_idx
cartservice_mem/1,cartservice,mem,adservice_error,368,360,8,0,367
checkoutservice_delay/4,checkoutservice,delay,frontend_error,425,360,65,0,424
checkoutservice_mem/2,checkoutservice,mem,istio-init_mem,680,319,361,41,720
currencyservice_cpu/1,currencyservice,cpu,adservice_cpu,2,2,0,0,1
currencyservice_cpu/1,currencyservice,cpu,cartservice_cpu,8,8,0,0,7
currencyservice_cpu/1,currencyservice,cpu,paymentservice_cpu,8,8,0,0,7
currencyservice_cpu/1,currencyservice,cpu,productcatalogservice_cpu,11,11,0,0,10
currencyservice_cpu/1,currencyservice,cpu,shippingservice_cpu,3,3,0,0,2
currencyservice_cpu/2,currencyservice,cpu,istio-init_mem,457,96,361,264,720
currencyservice_cpu/2,currencyservice,cpu,cartservice_error,659,298,361,62,720
paymentservice_cpu/1,paymentservice,cpu,adservice_cpu,5,5,0,0,4
paymentservice_cpu/1,paymentservice,cpu,recommendationservice_cpu,4,4,0,0,3
