case_id,combo,run_id,split
cartservice_cpu/1,cartservice_cpu,1,train
cartservice_cpu/2,cartservice_cpu,2,train
cartservice_cpu/3,cartservice_cpu,3,train
cartservice_cpu/4,cartservice_cpu,4,test
cartservice_cpu/5,cartservice_cpu,5,val
cartservice_delay/1,cartservice_delay,1,val
cartservice_delay/2,cartservice_delay,2,train
cartservice_delay/3,cartservice_delay,3,test
cartservice_delay/4,cartservice_delay,4,train
cartservice_delay/5,cartservice_delay,5,train
cartservice_loss/1,cartservice_loss,1,train
cartservice_loss/2,cartservice_loss,2,train
cartservice_loss/3,cartservice_loss,3,test
cartservice_loss/4,cartservice_loss,4,train
cartservice_loss/5,cartservice_loss,5,val
cartservice_mem/1,cartservice_mem,1,test
cartservice_mem/2,cartservice_mem,2,train
cartservice_mem/3,cartservice_mem,3,train
cartservice_mem/4,cartservice_mem,4,val
cartservice_mem/5,cartservice_mem,5,train
checkoutservice_cpu/1,checkoutservice_cpu,1,train
checkoutservice_cpu/2,checkoutservice_cpu,2,val
checkoutservice_cpu/3,checkoutservice_cpu,3,test
checkoutservice_cpu/4,checkoutservice_cpu,4,train
checkoutservice_cpu/5,checkoutservice_cpu,5,train
checkoutservice_delay/1,checkoutservice_delay,1,train
checkoutservice_delay/2,checkoutservice_delay,2,test
checkoutservice_delay/3,checkoutservice_delay,3,val
checkoutservice_delay/4,checkoutservice_delay,4,train
checkoutservice_delay/5,checkoutservice_delay,5,train
checkoutservice_loss/1,checkoutservice_loss,1,val
checkoutservice_loss/2,checkoutservice_loss,2,train
checkoutservice_loss/3,checkoutservice_loss,3,test
checkoutservice_loss/4,checkoutservice_loss,4,train
checkoutservice_loss/5,checkoutservice_loss,5,train
checkoutservice_mem/1,checkoutservice_mem,1,test
checkoutservice_mem/2,checkoutservice_mem,2,train
checkoutservice_mem/3,checkoutservice_mem,3,val
checkoutservice_mem/4,checkoutservice_mem,4,train
checkoutservice_mem/5,checkoutservice_mem,5,train
currencyservice_cpu/1,currencyservice_cpu,1,train
currencyservice_cpu/2,currencyservice_cpu,2,test
currencyservice_cpu/3,currencyservice_cpu,3,val
currencyservice_cpu/4,currencyservice_cpu,4,train
currencyservice_cpu/5,currencyservice_cpu,5,train
currencyservice_delay/1,currencyservice_delay,1,test
currencyservice_delay/2,currencyservice_delay,2,train
currencyservice_delay/3,currencyservice_delay,3,train
currencyservice_delay/4,currencyservice_delay,4,train
currencyservice_delay/5,currencyservice_delay,5,val
currencyservice_loss/1,currencyservice_loss,1,train
currencyservice_loss/2,currencyservice_loss,2,val
currencyservice_loss/3,currencyservice_loss,3,train
currencyservice_loss/4,currencyservice_loss,4,test
currencyservice_loss/5,currencyservice_loss,5,train
currencyservice_mem/1,currencyservice_mem,1,val
currencyservice_mem/2,currencyservice_mem,2,train
currencyservice_mem/3,currencyservice_mem,3,train
currencyservice_mem/4,currencyservice_mem,4,train
currencyservice_mem/5,currencyservice_mem,5,test
paymentservice_cpu/1,paymentservice_cpu,1,train
paymentservice_cpu/2,paymentservice_cpu,2,val
paymentservice_cpu/3,paymentservice_cpu,3,test
paymentservice_cpu/4,paymentservice_cpu,4,train
paymentservice_cpu/5,paymentservice_cpu,5,train
paymentservice_delay/1,paymentservice_delay,1,train
paymentservice_delay/2,paymentservice_delay,2,test
paymentservice_delay/3,paymentservice_delay,3,train
paymentservice_delay/4,paymentservice_delay,4,val
paymentservice_delay/5,paymentservice_delay,5,train
paymentservice_loss/1,paymentservice_loss,1,val
paymentservice_loss/2,paymentservice_loss,2,test
paymentservice_loss/3,paymentservice_loss,3,train
paymentservice_loss/4,paymentservice_loss,4,train
paymentservice_loss/5,paymentservice_loss,5,train
paymentservice_mem/1,paymentservice_mem,1,test
paymentservice_mem/2,paymentservice_mem,2,val
paymentservice_mem/3,paymentservice_mem,3,train
paymentservice_mem/4,paymentservice_mem,4,train
paymentservice_mem/5,paymentservice_mem,5,train
productcatalogservice_cpu/1,productcatalogservice_cpu,1,train
productcatalogservice_cpu/2,productcatalogservice_cpu,2,train
productcatalogservice_cpu/3,productcatalogservice_cpu,3,val
productcatalogservice_cpu/4,productcatalogservice_cpu,4,test
productcatalogservice_cpu/5,productcatalogservice_cpu,5,train
productcatalogservice_delay/1,productcatalogservice_delay,1,train
productcatalogservice_delay/2,productcatalogservice_delay,2,train
productcatalogservice_delay/3,productcatalogservice_delay,3,val
productcatalogservice_delay/4,productcatalogservice_delay,4,test
productcatalogservice_delay/5,productcatalogservice_delay,5,train
productcatalogservice_loss/1,productcatalogservice_loss,1,test
productcatalogservice_loss/2,productcatalogservice_loss,2,train
productcatalogservice_loss/3,productcatalogservice_loss,3,train
productcatalogservice_loss/4,productcatalogservice_loss,4,train
productcatalogservice_loss/5,productcatalogservice_loss,5,val
productcatalogservice_mem/1,productcatalogservice_mem,1,train
productcatalogservice_mem/2,productcatalogservice_mem,2,train
productcatalogservice_mem/3,productcatalogservice_mem,3,train
productcatalogservice_mem/4,productcatalogservice_mem,4,val
productcatalogservice_mem/5,productcatalogservice_mem,5,test
